Simulation name,Respectful Rate,Deforestation Status,Last Seasons,Percentage of Groves,Total Biomasses,Sustainability
Simulation 3,0.0,false,51,0.0176,33.182199258023054,false
Simulation 2,0.0,false,51,0.0672,116.73690131012187,false
Simulation 5,0.0,false,51,0.0532,92.64324094410446,false
Simulation 0,0.0,false,51,0.0252,45.15978143231708,false
Simulation 1,0.0,false,51,0.044,74.22188203050636,false
Simulation 4,0.0,false,51,0.0156,24.023920988830696,false
Simulation 7,0.0,false,51,0.0268,44.4971578906062,false
Simulation 8,0.0,false,51,0.0956,175.3194635966866,false
Simulation 9,0.0,false,51,0.0664,117.7044043420971,false
Simulation 6,0.0,false,51,0.048,92.78509355586853,false
Simulation 14,0.0,false,51,0.0116,15.55837383919862,false
Simulation 13,0.0,false,51,0.0368,60.10342557314107,false
Simulation 17,0.0,false,51,0.0268,49.13713630105846,false
Simulation 16,0.0,false,51,0.0192,29.55213079632978,false
Simulation 12,0.0,false,51,0.0528,104.32411384422093,false
Simulation 19,0.0,false,51,0.0168,28.53845138549806,false
Simulation 18,0.0,false,51,0.03,64.57965739222466,false
Simulation 10,0.0,false,51,0.0324,48.2542025439622,false
Simulation 15,0.0,false,51,0.0112,16.25680328749066,false
Simulation 11,0.0,false,51,0.0184,30.086989119669315,false
