Simulation name,Respectful Rate,Deforestation Status,Last Seasons,Percentage of Groves,Total Biomasses,Sustainability
Simulation 4,1.0,false,51,0.3796,746.4393850858929,true
Simulation 0,1.0,false,51,0.392,773.1510595397665,true
Simulation 6,1.0,false,51,0.4572,974.5905886787745,true
Simulation 1,1.0,false,51,0.418,806.5829553621523,true
Simulation 5,1.0,false,51,0.4152,844.7432765120209,true
Simulation 7,1.0,false,51,0.358,710.889538945661,true
Simulation 2,1.0,false,51,0.338,658.3219827801746,true
Simulation 9,1.0,false,51,0.4452,933.4939702782841,true
Simulation 3,1.0,false,51,0.3548,683.7388910533198,true
Simulation 8,1.0,false,51,0.2836,531.2579169006453,false
Simulation 12,1.0,false,51,0.3664,716.2843858158512,true
Simulation 15,1.0,false,51,0.366,729.0972461590645,true
Simulation 19,1.0,false,51,0.3928,763.1524014251544,true
Simulation 11,1.0,false,51,0.4964,1051.380496366005,true
Simulation 14,1.0,false,51,0.3304,619.1608398651418,true
Simulation 16,1.0,false,51,0.3396,674.3647800356384,true
Simulation 10,1.0,false,51,0.3408,656.3116926457722,true
Simulation 18,1.0,false,51,0.3252,628.6753623305124,true
Simulation 17,1.0,false,51,0.292,551.3922734974914,false
Simulation 13,1.0,false,51,0.3468,664.7993918811377,true
