Simulation name,Respectful Rate,Deforestation Status,Last Seasons,Percentage of Groves,Total Biomasses,Sustainability
Simulation 0,0.0,false,51,0.052,99.60656160182045,false
Simulation 4,0.0,false,51,0.0056,7.486374684045737,false
Simulation 1,0.0,false,51,0.0448,95.31818517900876,false
Simulation 3,0.0,false,51,0.0096,11.786544170759115,false
Simulation 2,0.0,false,51,0.0152,22.089381628036513,false
Simulation 6,0.1,false,51,0.0396,66.26806306763804,false
Simulation 9,0.1,false,51,0.062,95.67377505306027,false
Simulation 7,0.1,false,51,0.1024,163.51920638159586,false
Simulation 8,0.1,false,51,0.0332,55.356303054722034,false
Simulation 5,0.1,false,51,0.0276,50.38623831945059,false
Simulation 11,0.2,false,51,0.088,156.90578355197712,false
Simulation 14,0.2,false,51,0.0632,116.20138374329666,false
Simulation 12,0.2,false,51,0.0176,29.904946340626058,false
Simulation 10,0.2,false,51,0.0576,93.57488714776046,false
Simulation 13,0.2,false,51,0.1012,183.6124792802533,false
Simulation 16,0.3,false,51,0.118,223.15119793620354,false
Simulation 15,0.3,false,51,0.1232,217.32418968991797,false
Simulation 18,0.3,false,51,0.0916,145.31001658279345,false
Simulation 17,0.3,false,51,0.0892,138.81957166072453,false
Simulation 19,0.3,false,51,0.0668,110.991826496089,false
Simulation 24,0.4,false,51,0.1864,330.05300268391886,false
Simulation 20,0.4,false,51,0.2936,552.1242312696279,false
Simulation 21,0.4,false,51,0.2484,465.8913881619714,false
Simulation 22,0.4,false,51,0.256,464.0872143901917,false
Simulation 23,0.4,false,51,0.1572,264.688223183129,false
Simulation 29,0.5,false,51,0.2292,405.88886554869174,false
Simulation 25,0.5,false,51,0.174,317.5840971971394,false
Simulation 26,0.5,false,51,0.2128,385.5072078984665,false
Simulation 27,0.5,false,51,0.1356,240.5201401744273,false
Simulation 28,0.5,false,51,0.2164,406.4089859414322,false
Simulation 31,0.6,false,51,0.1796,305.4182903460599,false
Simulation 34,0.6,false,51,0.2356,422.2842179107222,false
Simulation 33,0.6,false,51,0.2284,395.2443637194132,false
Simulation 30,0.6,false,51,0.3096,577.508145876497,true
Simulation 32,0.6,false,51,0.0912,154.96228239458407,false
Simulation 35,0.7,false,51,0.314,627.4185553067322,true
Simulation 36,0.7,false,51,0.354,668.2104636722142,true
Simulation 37,0.7,false,51,0.28,516.8003539012514,false
Simulation 39,0.7,false,51,0.2332,393.58539878895147,false
Simulation 38,0.7,false,51,0.292,557.5706478245415,false
Simulation 44,0.8,false,51,0.2424,419.8595901663786,false
Simulation 41,0.8,false,51,0.386,792.133121700451,true
Simulation 43,0.8,false,51,0.2968,544.3647857407335,false
Simulation 40,0.8,false,51,0.3236,633.7266765987615,true
Simulation 42,0.8,false,51,0.3396,668.2790256728008,true
Simulation 48,0.9,false,51,0.2928,523.9181165444122,false
Simulation 46,0.9,false,51,0.2432,430.009816450829,false
Simulation 45,0.9,false,51,0.3948,799.0681350366004,true
Simulation 47,0.9,false,51,0.2888,541.0484068742029,false
Simulation 49,0.9,false,51,0.3204,608.9729776224882,true
Simulation 51,1.0,false,51,0.298,553.0243764919545,false
Simulation 54,1.0,false,51,0.3512,684.5869091195352,true
Simulation 50,1.0,false,51,0.3524,690.676627574222,true
Simulation 52,1.0,false,51,0.3676,728.9915403584664,true
Simulation 53,1.0,false,51,0.43,893.2219425209661,true
