Simulation name,Respectful Rate,Deforestation Status,Last Seasons,Percentage of Groves,Total Biomasses,Sustainability
Simulation 2,0.0,false,51,0.0416,76.13661724269318,false
Simulation 0,0.0,false,51,0.0016,2.4137500000000016,false
Simulation 1,0.0,false,51,0.0164,28.033131426274785,false
Simulation 3,0.0,false,51,0.0248,42.758793170883585,false
Simulation 4,0.0,false,51,0.0264,42.926814839339535,false
Simulation 5,0.1,false,51,0.0168,27.08941126210035,false
Simulation 6,0.1,false,51,0.0608,107.06108185338674,false
Simulation 7,0.1,false,51,0.0436,80.013747010879,false
Simulation 8,0.1,false,51,0.048,80.12917080652416,false
Simulation 9,0.1,false,51,0.0428,65.26078952366916,false
Simulation 14,0.2,false,51,0.0536,89.37073113398075,false
Simulation 11,0.2,false,51,0.1076,190.49516622548774,false
Simulation 10,0.2,false,51,0.0284,45.5199996390404,false
Simulation 12,0.2,false,51,0.0572,108.84810839251915,false
Simulation 13,0.2,false,51,0.0412,88.3835299345106,false
Simulation 18,0.3,false,51,0.1056,183.71092994076082,false
Simulation 17,0.3,false,51,0.1456,247.62414124065856,false
Simulation 19,0.3,false,51,0.0924,160.59114280140932,false
Simulation 15,0.3,false,51,0.0416,84.24141621713206,false
Simulation 16,0.3,false,51,0.0748,112.80566366543681,false
Simulation 24,0.4,false,51,0.1888,349.9115811695346,false
Simulation 23,0.4,false,51,0.1724,312.8413504426368,false
Simulation 22,0.4,false,51,0.0316,52.804355903627375,false
Simulation 21,0.4,false,51,0.1476,258.4364530543869,false
Simulation 20,0.4,false,51,0.2132,370.95998917494336,false
Simulation 26,0.5,false,51,0.3048,559.3701605616943,true
Simulation 29,0.5,false,51,0.19,358.77299863680093,false
Simulation 25,0.5,false,51,0.1808,336.9903513965152,false
Simulation 28,0.5,false,51,0.1312,223.8094222247593,false
Simulation 27,0.5,false,51,0.1488,263.12276342967635,false
Simulation 33,0.6,false,51,0.216,374.73400693255314,false
Simulation 31,0.6,false,51,0.2468,449.0417667055713,false
Simulation 30,0.6,false,51,0.1856,313.9918962974783,false
Simulation 34,0.6,false,51,0.2152,385.45066375058195,false
Simulation 32,0.6,false,51,0.2472,442.4966457303464,false
Simulation 35,0.7,false,51,0.246,456.2029165274663,false
Simulation 39,0.7,false,51,0.2344,417.17332461655474,false
Simulation 36,0.7,false,51,0.2748,512.321959135413,false
Simulation 38,0.7,false,51,0.2352,431.5834863143908,false
Simulation 37,0.7,false,51,0.324,620.3813107925423,true
Simulation 40,0.8,false,51,0.2836,549.1234339594886,false
Simulation 41,0.8,false,51,0.3652,729.9694802314912,true
Simulation 43,0.8,false,51,0.304,558.8316268194336,true
Simulation 42,0.8,false,51,0.3356,636.71034134251,true
Simulation 44,0.8,false,51,0.3616,748.7587228667037,true
Simulation 45,0.9,false,51,0.3372,644.5625338133539,true
Simulation 46,0.9,false,51,0.3476,696.0172870064633,true
Simulation 48,0.9,false,51,0.3568,714.3063116600447,true
Simulation 47,0.9,false,51,0.3428,657.4398447650966,true
Simulation 49,0.9,false,51,0.284,510.8227368015952,false
Simulation 51,1.0,false,51,0.44,897.7956556048872,true
Simulation 54,1.0,false,51,0.3088,554.8507307751813,true
Simulation 53,1.0,false,51,0.36,714.0672546905533,true
Simulation 52,1.0,false,51,0.4776,997.0942701847966,true
Simulation 50,1.0,false,51,0.3916,799.2035166049598,true
