Simulation name,Respectful Rate,Deforestation Status,Last Seasons,Percentage of Groves,Total Biomasses,Sustainability
Simulation 7,0.0,true,7,0.0,0.0,false
Simulation 8,0.0,true,10,0.0,0.0,false
Simulation 9,0.0,true,10,0.0,0.0,false
Simulation 0,0.0,true,10,0.0,0.0,false
Simulation 5,0.0,true,11,0.0,0.0,false
Simulation 2,0.0,true,11,0.0,0.0,false
Simulation 3,0.0,true,12,0.0,0.0,false
Simulation 4,0.0,true,12,0.0,0.0,false
Simulation 1,0.0,true,13,0.0,0.0,false
Simulation 6,0.0,true,17,0.0,0.0,false
Simulation 19,0.0,true,6,0.0,0.0,false
Simulation 18,0.0,true,7,0.0,0.0,false
Simulation 13,0.0,true,8,0.0,0.0,false
Simulation 12,0.0,true,9,0.0,0.0,false
Simulation 11,0.0,true,10,0.0,0.0,false
Simulation 17,0.0,true,10,0.0,0.0,false
Simulation 16,0.0,true,10,0.0,0.0,false
Simulation 15,0.0,true,11,0.0,0.0,false
Simulation 10,0.0,true,14,0.0,0.0,false
